area_type,area_id,display_name,area_km2,offstreet_parking_site_count,offstreet_parking_capacity_spaces,offstreet_parking_capacity_known_sites,offstreet_parking_sites_per_sqkm
community_area,01,Rogers Park,4.7628,132,607,2,27.71
community_area,02,West Ridge,9.13,224,0,0,24.53
community_area,03,Uptown,6.0411,315,46,8,52.14
community_area,04,Lincoln Square,6.6215,99,9,1,14.95
community_area,05,North Center,5.283,117,0,0,22.15
community_area,06,Lake View,8.1049,186,0,1,22.95
community_area,07,Lincoln Park,8.2156,235,0,0,28.6
community_area,08,Near North Side,7.1123,318,22,1,44.71
community_area,09,Edison Park,2.9358,7,0,0,2.38
community_area,10,Norwood Park,11.3133,57,311,2,5.04
community_area,11,Jefferson Park,6.0162,48,17,1,7.98
community_area,12,Forest Glen,8.2682,107,0,0,12.94
community_area,13,North Park,6.5237,118,127,6,18.09
community_area,14,Albany Park,4.9708,96,119,4,19.31
community_area,15,Portage Park,10.2197,125,71,2,12.23
community_area,16,Irving Park,8.316,109,14,2,13.11
community_area,17,Dunning,9.6034,70,61,1,7.29
community_area,18,Montclare,2.5657,32,0,0,12.47
community_area,19,Belmont Cragin,10.12,136,402,3,13.44
community_area,20,Hermosa,3.0261,24,0,0,7.93
community_area,21,Avondale,5.1321,114,8,1,22.21
community_area,22,Logan Square,9.2722,248,6,1,26.75
community_area,23,Humboldt Park,9.3152,130,0,0,13.96
community_area,24,West Town,11.8171,481,136,6,40.7
community_area,25,Austin,18.4647,254,15,1,13.76
community_area,26,West Garfield Park,3.3502,69,0,0,20.6
community_area,27,East Garfield Park,4.9995,103,0,0,20.6
community_area,28,Near West Side,14.7021,750,229,2,51.01
community_area,29,North Lawndale,8.2942,177,30,2,21.34
community_area,30,South Lawndale,11.8923,93,0,0,7.82
community_area,31,Lower West Side,7.573,156,0,0,20.6
community_area,32,Loop,4.3063,224,9655,12,52.02
community_area,33,Near South Side,4.6183,173,6425,6,37.46
community_area,34,Armour Square,2.581,81,66,1,31.38
community_area,35,Douglas,4.2638,154,0,0,36.12
community_area,36,Oakland,1.5717,45,45,1,28.63
community_area,37,Fuller Park,1.8421,17,0,0,9.23
community_area,38,Grand Boulevard,4.5023,94,0,0,20.88
community_area,39,Kenwood,2.6996,53,0,0,19.63
community_area,40,Washington Park,3.9306,45,148,2,11.45
community_area,41,Hyde Park,4.1874,152,0,0,36.3
community_area,42,Woodlawn,5.3595,117,25,1,21.83
community_area,43,South Shore,7.5952,135,0,0,17.77
community_area,44,Chatham,7.6399,71,0,0,9.29
community_area,45,Avalon Park,3.2298,21,0,0,6.5
community_area,46,South Chicago,8.6553,72,698,2,8.32
community_area,47,Burnside,1.5793,3,0,0,1.9
community_area,48,Calumet Heights,4.5353,32,0,0,7.06
community_area,49,Roseland,12.4557,122,146,4,9.79
community_area,50,Pullman,5.472,58,0,0,10.6
community_area,51,South Deering,28.1799,37,0,0,1.31
community_area,52,East Side,7.7186,55,0,0,7.13
community_area,53,West Pullman,9.2109,79,24,1,8.58
community_area,54,Riverdale,9.1177,55,126,1,6.03
community_area,55,Hegewisch,13.5459,74,1569,3,5.46
community_area,56,Garfield Ridge,10.9287,92,39,1,8.42
community_area,57,Archer Heights,5.2019,61,390,1,11.73
community_area,58,Brighton Park,7.0385,95,157,1,13.5
community_area,59,Mckinley Park,3.6481,61,69,1,16.72
community_area,60,Bridgeport,5.4081,103,3045,5,19.05
community_area,61,New City,12.4973,134,0,0,10.72
community_area,62,West Elsdon,3.0348,17,0,0,5.6
community_area,63,Gage Park,5.6863,64,200,1,11.26
community_area,64,Clearing,6.5868,31,389,2,4.71
community_area,65,West Lawn,7.6443,47,0,0,6.15
community_area,66,Chicago Lawn,9.1141,73,0,0,8.01
community_area,67,West Englewood,8.1429,69,235,1,8.47
community_area,68,Englewood,7.9486,67,0,0,8.43
community_area,69,Greater Grand Crossing,9.1808,81,92,1,8.82
community_area,70,Ashburn,12.5675,60,0,0,4.77
community_area,71,Auburn Gresham,9.7497,225,0,0,23.08
community_area,72,Beverly,8.2198,18,0,0,2.19
community_area,73,Washington Heights,7.3771,91,6,1,12.34
community_area,74,Mount Greenwood,6.9933,95,0,0,13.58
community_area,75,Morgan Park,8.5233,70,0,0,8.21
community_area,76,Ohare,34.5114,289,1651,2,8.37
community_area,77,Edgewater,4.4914,130,30,2,28.94
