area_type,area_id,display_name,area_km2,offstreet_parking_site_count,offstreet_parking_capacity_spaces,offstreet_parking_capacity_known_sites,offstreet_parking_sites_per_sqkm,permit_zone_block_face_count,permit_zone_count,permit_zone_buffer_block_faces,permit_zone_block_faces_per_sqkm
ward,01,Ward 1,6.1078,250,0,0,40.93,414,38,87,67.78
ward,02,Ward 2,2.9045,137,22,1,47.17,404,24,192,139.09
ward,03,Ward 3,9.075,285,178,3,31.4,59,17,6,6.5
ward,04,Ward 4,10.7422,320,6440,6,29.79,52,5,28,4.84
ward,05,Ward 5,10.4064,274,0,0,26.33,18,7,0,1.73
ward,06,Ward 6,12.9141,80,92,1,6.19,119,40,2,9.21
ward,07,Ward 7,13.1275,102,33,1,7.77,73,33,0,5.56
ward,08,Ward 8,16.6951,133,0,0,7.97,166,53,0,9.94
ward,09,Ward 9,21.7555,166,296,6,7.63,87,29,2,4.0
ward,10,Ward 10,53.5184,236,2234,4,4.41,31,14,4,0.58
ward,11,Ward 11,11.813,266,3111,6,22.52,122,25,12,10.33
ward,12,Ward 12,12.3794,148,69,1,11.96,293,120,0,23.67
ward,13,Ward 13,13.7266,69,428,3,5.03,217,70,11,15.81
ward,14,Ward 14,11.2563,122,157,1,10.84,302,95,3,26.83
ward,15,Ward 15,7.6993,68,200,1,8.83,206,83,3,26.76
ward,16,Ward 16,11.6764,109,235,1,9.34,81,28,3,6.94
ward,17,Ward 17,12.0715,225,0,0,18.64,90,35,4,7.46
ward,18,Ward 18,17.9473,137,0,0,7.63,67,22,0,3.73
ward,19,Ward 19,20.4167,153,0,0,7.49,221,43,0,10.82
ward,20,Ward 20,13.4865,159,25,1,11.79,55,24,0,4.08
ward,21,Ward 21,19.6335,241,6,1,12.27,142,51,4,7.23
ward,22,Ward 22,9.7771,55,0,0,5.63,70,33,4,7.16
ward,23,Ward 23,10.8564,84,390,1,7.74,223,79,8,20.54
ward,24,Ward 24,10.3897,196,45,3,18.86,96,41,2,9.24
ward,25,Ward 25,8.6552,175,0,0,20.22,359,83,8,41.48
ward,26,Ward 26,7.2045,122,2,1,16.93,252,94,16,34.98
ward,27,Ward 27,14.7948,655,12,1,44.27,284,105,32,19.2
ward,28,Ward 28,14.85,384,0,0,25.86,302,82,16,20.34
ward,29,Ward 29,11.077,165,0,0,14.9,279,66,8,25.19
ward,30,Ward 30,8.8064,94,243,4,10.67,353,134,16,40.08
ward,31,Ward 31,6.9036,102,265,1,14.77,306,112,1,44.32
ward,32,Ward 32,8.6144,267,16,2,30.99,281,14,167,32.62
ward,33,Ward 33,5.7678,81,98,4,14.04,173,28,11,29.99
ward,34,Ward 34,3.9574,240,10,3,60.65,51,27,2,12.89
ward,35,Ward 35,7.0653,137,14,2,19.39,356,70,15,50.39
ward,36,Ward 36,7.7738,130,118,3,16.72,206,85,3,26.5
ward,37,Ward 37,9.3209,115,0,0,12.34,109,37,5,11.69
ward,38,Ward 38,16.4712,132,0,0,8.01,109,35,11,6.62
ward,39,Ward 39,16.8747,236,133,7,13.99,183,35,13,10.84
ward,40,Ward 40,8.9648,221,54,3,24.65,224,29,10,24.99
ward,41,Ward 41,44.1176,316,1704,3,7.16,297,56,4,6.73
ward,42,Ward 42,4.8771,226,9862,10,46.34,109,15,52,22.35
ward,43,Ward 43,5.7808,142,0,0,24.56,604,4,192,104.48
ward,44,Ward 44,4.409,103,0,1,23.36,493,2,174,111.82
ward,45,Ward 45,12.9458,177,301,3,13.67,230,43,18,17.77
ward,46,Ward 46,5.1892,250,0,0,48.18,203,5,115,39.12
ward,47,Ward 47,7.8634,158,9,1,20.09,212,11,79,26.96
ward,48,Ward 48,4.1823,172,66,9,41.13,36,5,5,8.61
ward,49,Ward 49,4.7141,126,592,1,26.73,113,2,8,23.97
ward,50,Ward 50,6.9135,133,0,0,19.24,132,20,0,19.09
