area_type,area_id,display_name,area_km2,offstreet_parking_site_count,offstreet_parking_capacity_spaces,offstreet_parking_capacity_known_sites,offstreet_parking_sites_per_sqkm,parking_311_complaint_count,parking_311_abandoned_vehicle_count,parking_311_bike_lane_count,local_311_complaint_count,parking_311_complaints_per_sqkm,parking_311_share_of_local_complaints_pct,population,households,vehicles,vehicles_per_household
zip,60601,60601,0.8503,43,465,5,50.57,338,320,18,6779,397.51,4.986,14538,8229,5365,0.652
zip,60602,60602,0.4496,14,7826,3,31.14,18,13,5,2401,40.04,0.75,0,0,0,
zip,60603,60603,0.423,13,0,0,30.73,55,55,0,2470,130.02,2.227,7989,4629,1979,0.428
zip,60604,60604,0.3984,18,1350,1,45.18,30,29,1,1620,75.3,1.852,0,0,0,
zip,60605,60605,3.3675,154,0,0,45.73,345,330,15,11355,102.45,3.038,33752,19186,12830,0.669
zip,60606,60606,0.6277,53,14,3,84.44,31,21,10,3649,49.39,0.85,0,0,0,
zip,60607,60607,5.9983,356,12,1,59.35,404,370,34,18991,67.35,2.127,29429,14274,13344,0.935
zip,60608,60608,16.373,335,31,1,20.46,2885,2865,20,67707,176.2,4.261,73450,29907,34741,1.162
zip,60609,60609,19.8045,226,73,2,11.41,4407,4406,1,67105,222.53,6.567,58884,21237,26982,1.271
zip,60610,60610,2.9311,90,22,1,30.71,265,254,11,16386,90.41,1.617,46055,27716,17533,0.633
zip,60611,60611,2.1804,102,0,0,46.78,121,120,1,10172,55.49,1.19,33241,21873,13125,0.6
zip,60612,60612,9.8994,322,118,3,32.53,1622,1616,6,37101,163.85,4.372,38494,16291,15905,0.976
zip,60613,60613,5.0082,158,0,0,31.55,729,719,10,25525,145.56,2.856,55423,30939,24228,0.783
zip,60614,60614,8.7625,263,0,0,30.01,1132,1102,30,48770,129.19,2.321,69982,34291,30953,0.903
zip,60615,60615,6.1747,140,148,2,22.67,1163,1158,5,21625,188.35,5.378,42952,22531,18762,0.833
zip,60616,60616,10.1728,343,9501,10,33.72,1432,1414,18,31876,140.77,4.492,56516,26607,26561,0.998
zip,60617,60617,41.9961,190,698,2,4.52,5479,5479,0,88583,130.46,6.185,79110,30230,38418,1.271
zip,60618,60618,13.1013,258,16,2,19.69,4075,4042,33,70235,311.04,5.802,91215,37329,47662,1.277
zip,60619,60619,15.572,109,0,0,7.0,3934,3922,12,70561,252.63,5.575,57482,27106,26397,0.974
zip,60620,60620,17.6388,340,98,2,19.28,3865,3865,0,72797,219.12,5.309,65466,25624,27945,1.091
zip,60621,60621,9.7168,82,0,0,8.44,1887,1886,1,35192,194.2,5.362,26562,11276,9152,0.812
zip,60622,60622,6.5726,249,18,3,37.88,1359,1348,11,44438,206.77,3.058,53410,25419,27529,1.083
zip,60623,60623,14.4047,166,11,1,11.52,4529,4524,5,68522,314.41,6.61,80635,25972,31315,1.206
zip,60624,60624,9.2221,190,19,1,20.6,3274,3272,2,40019,355.02,8.181,32086,12190,11675,0.958
zip,60625,60625,9.8171,144,128,5,14.67,2516,2504,12,44864,256.29,5.608,76338,30047,33739,1.123
zip,60626,60626,4.5609,136,607,2,29.82,1598,1591,7,22942,350.37,6.965,54388,25978,20988,0.808
zip,60628,60628,32.03,234,296,6,7.31,3469,3469,0,83281,108.3,4.165,63079,24657,30692,1.245
zip,60629,60629,19.5826,130,389,2,6.64,7836,7834,2,97756,400.15,8.016,114052,36249,55906,1.542
zip,60630,60630,12.1583,159,49,3,13.08,3429,3426,3,46037,282.03,7.448,53685,21263,32363,1.522
zip,60631,60631,9.9365,57,1633,1,5.74,1000,998,2,23520,100.64,4.252,33386,13731,21252,1.548
zip,60632,60632,19.6442,228,747,3,11.61,5777,5772,5,82022,294.08,7.043,90073,27620,43792,1.586
zip,60633,60633,17.395,77,1569,3,4.43,356,354,2,8531,20.47,4.173,8971,3670,5725,1.56
zip,60634,60634,18.002,158,508,5,8.78,4805,4802,3,61666,266.91,7.792,73625,27695,46216,1.669
zip,60636,60636,9.6575,95,235,1,9.84,2987,2987,0,48512,309.29,6.157,28455,10544,11863,1.125
zip,60637,60637,11.6346,211,25,1,18.14,2251,2243,8,36144,193.47,6.228,55472,23410,18839,0.805
zip,60638,60638,15.4133,99,39,1,6.42,3085,3084,1,52463,200.15,5.88,55653,19938,34103,1.71
zip,60639,60639,11.8249,140,0,0,11.84,4947,4943,4,56796,418.35,8.71,82335,26103,39180,1.501
zip,60640,60640,7.1711,299,46,8,41.7,1306,1301,5,34232,182.12,3.815,64887,37245,28537,0.766
zip,60641,60641,10.5658,138,0,0,13.06,4098,4092,6,51700,387.86,7.926,67755,25851,38363,1.484
zip,60642,60642,4.4489,234,0,0,52.6,738,708,30,16708,165.88,4.417,24850,13666,13296,0.973
zip,60643,60643,19.2693,161,0,0,8.36,1957,1957,0,58152,101.56,3.365,46934,17928,26950,1.503
zip,60644,60644,9.1918,170,15,1,18.49,3744,3744,0,44404,407.32,8.432,49116,18855,17805,0.944
zip,60645,60645,5.768,77,0,0,13.35,2295,2294,1,26199,397.88,8.76,43312,15001,20986,1.399
zip,60646,60646,10.9353,146,382,6,13.35,1108,1108,0,31107,101.32,3.562,27030,10248,18061,1.762
zip,60647,60647,9.8374,252,6,1,25.62,3003,2969,34,65579,305.26,4.579,81623,36726,41006,1.117
zip,60649,60649,7.4695,147,0,0,19.68,2369,2369,0,34875,317.16,6.793,49979,24918,21399,0.859
zip,60651,60651,9.1875,91,0,0,9.9,4445,4445,0,48598,483.81,9.146,66007,21690,27299,1.259
zip,60652,60652,11.9031,56,0,0,4.7,1719,1719,0,33674,144.42,5.105,42079,13183,23681,1.796
zip,60653,60653,6.2857,170,45,1,27.05,2041,2038,3,21360,324.71,9.555,35982,17204,14808,0.861
zip,60654,60654,1.4721,89,0,0,60.46,94,72,22,8272,63.85,1.136,21787,14161,9109,0.643
zip,60655,60655,10.7034,105,0,0,9.81,469,468,1,22830,43.82,2.054,27902,10899,18496,1.697
zip,60656,60656,8.3038,59,53,1,7.11,1339,1339,0,16208,161.25,8.261,22330,9091,15753,1.733
zip,60657,60657,5.8946,137,0,1,23.24,1270,1252,18,33450,215.45,3.797,72369,40104,30357,0.757
zip,60659,60659,6.4652,161,3,1,24.9,1780,1775,5,23140,275.32,7.692,44304,15309,20477,1.338
zip,60660,60660,3.5234,112,30,2,31.79,1184,1156,28,18566,336.04,6.377,43532,21535,17548,0.815
zip,60661,60661,0.868,78,217,1,89.86,78,61,17,3816,89.86,2.044,14576,9722,6123,0.63
zip,60666,60666,26.1635,206,18,1,7.87,236,236,0,2351,9.02,10.038,0,0,0,
zip,60707,60707,4.5006,57,0,0,12.66,1716,1716,0,15716,381.28,10.919,20129,7448,12849,1.725
zip,60827,60827,4.5038,45,0,0,9.99,114,114,0,3447,25.31,3.307,4019,1566,1215,0.776
