geoid,lat,lng
17031010100,42.0212553,-87.6698301
17031010201,42.0160077,-87.6801484
17031010202,42.0160476,-87.6733256
17031010300,42.0159431,-87.6665393
17031010400,42.0064109,-87.6588157
17031010501,42.0094119,-87.6639583
17031010502,42.0045173,-87.6633273
17031010503,42.0003207,-87.6631262
17031010600,42.0062774,-87.667683
17031010701,42.0091482,-87.6786204
17031010702,42.0090199,-87.6727257
17031020100,42.015721,-87.6871169
17031020200,42.0156903,-87.6995191
17031020301,42.0068651,-87.7051865
17031020302,42.0085406,-87.6949634
17031020400,42.008488,-87.6859118
17031020500,42.0013129,-87.6841982
17031020601,42.0008746,-87.7018025
17031020602,42.0013156,-87.6936373
17031020701,41.9868915,-87.7036897
17031020702,41.9941256,-87.7048939
17031020801,41.9868081,-87.6944149
17031020802,41.9940592,-87.6946306
17031020901,41.9943922,-87.6854736
17031020902,41.9942585,-87.6786841
17031030101,41.9910538,-87.654879
17031030102,41.9930264,-87.6550225
17031030103,41.9955241,-87.6551527
17031030104,41.9972773,-87.6559864
17031030200,41.9944414,-87.66523
17031030300,41.9943875,-87.6725348
17031030400,41.9869515,-87.6720788
17031030500,41.987226,-87.6649359
17031030601,41.9889716,-87.6546087
17031030603,41.9854762,-87.6583979
17031030604,41.9858707,-87.6524546
17031030701,41.9827453,-87.6579659
17031030702,41.9808148,-87.6545286
17031030703,41.9788749,-87.6578708
17031030706,41.9804151,-87.6509155
17031030800,41.9799123,-87.664188
17031030900,41.9797951,-87.6714454
17031031000,41.972437,-87.6711094
17031031100,41.9726684,-87.6638662
17031031200,41.9727092,-87.657341
17031031300,41.9737646,-87.6465298
17031031400,41.9584475,-87.6424095
17031031501,41.9672886,-87.6524343
17031031502,41.9636326,-87.6523656
17031031700,41.9654466,-87.6631954
17031031800,41.9670114,-87.6706209
17031031900,41.963374,-87.6701841
17031032100,41.9581538,-87.6530179
17031040100,41.9856223,-87.6828856
17031040201,41.9725804,-87.6940005
17031040202,41.9798549,-87.694096
17031040300,41.9769437,-87.7019832
17031040401,41.9720667,-87.6860816
17031040402,41.972545,-87.6788181
17031040600,41.9668338,-87.684018
17031040700,41.9674314,-87.6940682
17031040800,41.963974,-87.6918213
17031040900,41.9631847,-87.6838544
17031050100,41.9578451,-87.676373
17031050200,41.9577405,-87.6837168
17031050300,41.9578851,-87.6904442
17031050500,41.9504474,-87.6835073
17031050600,41.9505477,-87.6761824
17031050700,41.945071,-87.6760595
17031050800,41.9450095,-87.6809279
17031050900,41.9449466,-87.685778
17031051000,41.9413024,-87.6857317
17031051100,41.9413652,-87.6808266
17031051200,41.9414224,-87.6759536
17031051300,41.9359971,-87.6758395
17031051400,41.935442,-87.6809594
17031060100,41.9575311,-87.6666112
17031060200,41.9579036,-87.6715175
17031060300,41.9506049,-87.6713327
